victim_race,investigator_race,keywords_freq,punishment_severity,number_of_allegation
Black,Black,0.5020404448820168,27.8838032965536,7341
Black,Asian/Pacific Islander,0.5441251054648368,23.724137931034484,464
Black,Hispanic,0.4015176038578777,29.307563427477263,4178
Black,White,0.4272377367132669,20.396864374763883,10588
Black,lost,0.3694718508297261,2.0710659898477157,1576
Asian/Pacific Islander,Black,,,0
Asian/Pacific Islander,Asian/Pacific Islander,,,0
Asian/Pacific Islander,Hispanic,,,0
Asian/Pacific Islander,White,0.6538299663299663,-1.0,32
Asian/Pacific Islander,lost,,,0
Hispanic,Black,0.4630941245373459,1.9169550173010381,289
Hispanic,Asian/Pacific Islander,0.38937508942442955,-0.1724137931034483,29
Hispanic,Hispanic,0.4726798903574391,4.045197740112994,354
Hispanic,White,0.5362803431156514,1.745433789954338,876
Hispanic,lost,0.2845983933150398,0.36764705882352944,136
White,Black,0.2770686802632816,35.338403041825096,263
White,Asian/Pacific Islander,0.6167725560659932,1.5,28
White,Hispanic,0.4767005388641096,46.56488549618321,131
White,White,0.4321922120081408,48.11067961165048,515
White,lost,0.36083409420332063,38.948905109489054,137
lost,Black,0.5666078712229262,74.15736040609137,197
lost,Asian/Pacific Islander,,,0
lost,Hispanic,0.45870986174795514,92.21518987341773,79
lost,White,0.5386848293150915,38.58288770053476,187
lost,lost,0.1950731381121702,7.09973521624007,1133
