allegation_id,race,primary_cause,judge,settlement_num
86693,Black,Extended detention,Thomas Lee Hogan,1000000
86693,Black,Extended detention,Thomas Lee Hogan,1000000
86693,Black,Extended detention,Thomas Lee Hogan,1000000
86693,Black,Extended detention,Thomas Lee Hogan,1000000
86695,Black,False arrest,Gettleman,700000
86695,Black,False arrest,Gettleman,700000
86695,Black,False arrest,Gettleman,700000
86695,Black,False arrest,Gettleman,700000
86695,Black,False arrest,Gettleman,700000
86695,Black,False arrest,Gettleman,700000
86696,Black,Excessive force-serious,Darrah,925000
86696,Black,Excessive force-serious,Darrah,925000
86696,Black,Excessive force-serious,Darrah,925000
86699,White,DUI stop,Gottschall,65000
86700,Black,Failure to provide medical care,Kendall,15000000
86700,Black,Failure to provide medical care,Kendall,15000000
86700,Black,Failure to provide medical care,Kendall,15000000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86705,Black,Excessive force-serious,Norgle Sr.,3525000
86706,Black,Excessive force-minor,Rowland,35000
86706,Black,Excessive force-minor,Rowland,35000
86710,Hispanic,Other police misconduct,William Maddux,45000
86711,Black,Illinois Domestic Violence Act violation,James D. Egan,2133000
86715,White,Illegal search/seizure,Wood,430000
86715,White,Illegal search/seizure,Wood,430000
86715,White,Illegal search/seizure,Wood,430000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86716,Black,Illegal search/seizure,Dow Jr.,215000
86719,Black,Excessive force-minor,"",3000
86719,Black,Excessive force-minor,"",3000
86719,Black,Excessive force-minor,"",3000
86719,Black,Excessive force-minor,"",3000
86720,White,Reversed conviction,Kocoras,3600000
86720,White,Reversed conviction,Kocoras,3600000
86720,White,Reversed conviction,Kocoras,3600000
86720,White,Reversed conviction,Kocoras,3600000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86723,Black,Excessive force-minor,Ellis,21000
86724,Black,Extended detention,Lee,100000
86724,Black,Extended detention,Lee,100000
86726,Hispanic,False arrest,Kendall,60000
86726,Hispanic,False arrest,Kendall,60000
86728,White,Extended detention,Darrah,45000
86728,White,Extended detention,Darrah,45000
86731,Black,Excessive force-serious,Eileen M. Brewer,500000
86731,Black,Excessive force-serious,Eileen M. Brewer,500000
86731,Black,Excessive force-serious,Eileen M. Brewer,500000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86733,Black,Excessive force-serious,"",100000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86734,Black,Excessive force-serious,Susan Ruscitti-Grussel,1375000
86735,Hispanic,Excessive force-serious,Elizabeth M. Budzinski,8500000
86735,Hispanic,Excessive force-serious,Elizabeth M. Budzinski,8500000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86743,Black,Extended detention,Norgle,5000
86745,White,Other police misconduct,Gettleman,100000
86745,White,Other police misconduct,Gettleman,100000
86745,White,Other police misconduct,Gettleman,100000
86745,White,Other police misconduct,Gettleman,100000
86745,White,Other police misconduct,Gettleman,100000
86745,White,Other police misconduct,Gettleman,100000
86748,Black,False arrest,Chang,225000
86748,Black,False arrest,Chang,225000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86750,Hispanic,False arrest,Brown,200000
86751,Hispanic,Other police misconduct,"",5000
86751,Hispanic,Other police misconduct,"",5000
86751,Hispanic,Other police misconduct,"",5000
86751,Hispanic,Other police misconduct,"",5000
86751,Hispanic,Other police misconduct,"",5000
86751,Hispanic,Other police misconduct,"",5000
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
86752,Hispanic,Extended detention,Pallmeyer,9500
