allegation_id,race,allegation_category_id,judge,settlement_num
86693,Black,99,Thomas Lee Hogan,1000000
86693,Black,99,Thomas Lee Hogan,1000000
86693,Black,99,Thomas Lee Hogan,1000000
86693,Black,99,Thomas Lee Hogan,1000000
86695,Black,32,Gettleman,700000
86695,Black,32,Gettleman,700000
86695,Black,32,Gettleman,700000
86695,Black,32,Gettleman,700000
86695,Black,32,Gettleman,700000
86695,Black,32,Gettleman,700000
86696,Black,204,Darrah,925000
86696,Black,204,Darrah,925000
86696,Black,204,Darrah,925000
86699,White,208,Gottschall,65000
86700,Black,204,Kendall,15000000
86700,Black,204,Kendall,15000000
86700,Black,204,Kendall,15000000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86705,Black,75,Norgle Sr.,3525000
86706,Black,189,Rowland,35000
86706,Black,189,Rowland,35000
86710,Hispanic,204,William Maddux,45000
86711,Black,208,James D. Egan,2133000
86715,White,107,Wood,430000
86715,White,107,Wood,430000
86715,White,107,Wood,430000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86716,Black,105,Dow Jr.,215000
86719,Black,109,"",3000
86719,Black,109,"",3000
86719,Black,109,"",3000
86719,Black,109,"",3000
86720,White,75,Kocoras,3600000
86720,White,75,Kocoras,3600000
86720,White,75,Kocoras,3600000
86720,White,75,Kocoras,3600000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86723,Black,70,Ellis,21000
86724,Black,204,Lee,100000
86724,Black,204,Lee,100000
86726,Hispanic,107,Kendall,60000
86726,Hispanic,107,Kendall,60000
86728,White,108,Darrah,45000
86728,White,108,Darrah,45000
86731,Black,208,Eileen M. Brewer,500000
86731,Black,208,Eileen M. Brewer,500000
86731,Black,208,Eileen M. Brewer,500000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,108,"",100000
86733,Black,33,"",100000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86734,Black,99,Susan Ruscitti-Grussel,1375000
86735,Hispanic,33,Elizabeth M. Budzinski,8500000
86735,Hispanic,33,Elizabeth M. Budzinski,8500000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86743,Black,99,Norgle,5000
86745,White,108,Gettleman,100000
86745,White,108,Gettleman,100000
86745,White,108,Gettleman,100000
86745,White,108,Gettleman,100000
86745,White,108,Gettleman,100000
86745,White,108,Gettleman,100000
86748,Black,71,Chang,225000
86748,Black,71,Chang,225000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86750,Hispanic,99,Brown,200000
86751,Hispanic,71,"",5000
86751,Hispanic,71,"",5000
86751,Hispanic,71,"",5000
86751,Hispanic,71,"",5000
86751,Hispanic,71,"",5000
86751,Hispanic,71,"",5000
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
86752,Hispanic,98,Pallmeyer,9500
